date,revenue_this_year,revenue_last_year,revenue_variance,revenue_pct_difference,orders_this_year,orders_last_year,orders_variance,orders_pct_difference,stock_value_jhb_this_year,stock_value_dbn_this_year,stock_value_cpt_this_year,stock_value_total_this_year,stock_value_jhb_last_year,stock_value_dbn_last_year,stock_value_cpt_last_year,stock_value_total_last_year
2026-03-31,301966.10,195851.01,106115.09,54.18,397,286,111,38.81,5896972.289999999,1551098.25,2417549.7299999995,9865620.27,4709414.930000001,1547057.7299999997,2499432.6799999997,8755905.34
2026-04-01,233733.01,387354.46,-153621.45,-39.66,332,518,-186,-35.91,6035847.6099999985,1533642.0899999999,2398519.8199999994,9968009.519999998,5152259.259999999,1547169.4299999997,2652222.9099999997,9351651.599999998
2026-04-02,116992.77,294200.91,-177208.14,-60.23,136,400,-264,-66.0,5956582.1,1585497.01,2387248.84,9929327.95,5269438.760000001,1526377.7299999997,2706873.06,9502689.55
2026-04-03,49441.61,226759.04,-177317.43,-78.2,64,331,-267,-80.66,5939620.399999999,1578722.0999999999,2377770.12,9896112.62,5598276.78,1516746.42,2663794.9499999997,9778818.15
2026-04-04,54217.66,152511.39,-98293.73,-64.45,66,235,-169,-71.91,5913332.029999998,1575220.8299999998,2368439.55,9856992.409999998,5604057.94,1510300.3499999996,2624742.49,9739100.780000001
2026-04-05,271212.42,150501.87,120710.55,80.21,197,155,42,27.1,5765299.07,1558154.7700000003,2332034.5500000003,9655488.39,5814883.5200000005,1498640.5599999998,2595571.48,9909095.56
2026-04-06,364624.39,434491.82,-69867.43,-16.08,304,358,-54,-15.08,5567179.49,1530978.53,2286116.7,9384274.72,5586328.24,1449296.61,2541039.16,9576664.010000002
2026-04-07,472763.93,465977.74,6786.19,1.46,447,461,-14,-3.04,5538016.319999999,1488476.46,2266367.7600000002,9292860.54,5426941.160000002,1394134.5899999999,2455914.09,9276989.840000002
2026-04-08,467188.14,410929.48,56258.66,13.69,464,438,26,5.94,5438143.679999999,1472339.93,2371285.1500000004,9281768.759999998,5299577.61,1381318.46,2405258.58,9086154.65
2026-04-09,269874.76,398945.96,-129071.20,-32.35,306,409,-103,-25.18,5452556.12,1458991.21,2303407.0200000005,9214954.350000001,5163764.98,1377533.32,2339939.3200000003,8881237.620000001
2026-04-10,183174.37,234691.46,-51517.09,-21.95,261,301,-40,-13.29,5782418.78,1474504.7999999998,2296309.1900000004,9553232.77,5197321.199999999,1363868.6600000001,2315320.1900000004,8876510.05
2026-04-11,105049.14,183585.54,-78536.40,-42.78,167,213,-46,-21.6,5735730.109999999,1470545.3700000003,2282280.1199999996,9488555.6,5117655.749999999,1346197.73,2288832.22,8752685.7
2026-04-12,126250.03,89575.49,36674.54,40.94,175,116,59,50.86,5660536.220000001,1462403.03,2267804.89,9390744.14,5073845.750000001,1335720.7100000002,2277533.29,8687099.75
2026-04-13,386334.87,146204.30,240130.57,164.24,469,183,286,156.28,5547085.909999998,1432151.2700000005,2230359.8,9209596.979999999,5014208.61,1324297.7499999998,2242700.7599999993,8581207.12
2026-04-14,366409.43,322350.66,44058.77,13.67,510,401,109,27.18,6002657.34,1409265.96,2351445.67,9763368.969999999,4886322.050000001,1307191.83,2201551.97,8395065.850000001
2026-04-15,389924.54,525225.32,-135300.78,-25.76,573,695,-122,-17.55,5855707.339999998,1408314.6400000001,2444391.0800000005,9708413.059999999,4721572.659999999,1272140.4700000002,2145224.7399999998,8138937.869999999
2026-04-16,272602.51,259988.49,12614.02,4.85,428,323,105,32.51,5793319.4399999995,1613678.81,2406323.97,9813322.22,4640275.09,1256492.61,2321687.4799999995,8218455.18
2026-04-17,182651.21,91254.98,91396.23,100.15,288,142,146,102.82,5768643.319999998,1582336.5199999998,2424287.47,9775267.309999999,4772906.569999999,1308686.4899999998,2318012.86,8399605.919999998
2026-04-18,101226.59,60498.11,40728.48,67.32,148,88,60,68.18,5724415.390000001,1566405.6699999997,2409321.0599999996,9700142.120000001,4743800.94,1306606.52,2318989.7,8369397.160000001
2026-04-19,132084.82,43917.44,88167.38,200.76,181,71,110,154.93,5668599.34,1546772.27,2389381.2399999993,9604752.849999998,4721286.43,1300480.06,2314735.2,8336501.69
